ID;Nome;Tipo;Progresso;Data de Criacao;Prazo;Data de Conclusao;CPF;E-mail;Data de Nascimento
101538;Marina Ribeiro;Retificacao;Completa;09/04/2024;24/04/2024;19/04/2024;17801115;mariribeiro@gmail.com;12/08/2001
101539;Gustavo Rocha;Oposicao;Completa;09/04/2024;24/04/2024;19/04/2024;17801120;gusrocha@gmail.com;17/02/1999
101540;Carolina Fernandes;Eliminacao;Completa;10/04/2024;25/04/2024;19/04/2024;17801126;carolfernandes@gmail.com;20/02/2000
101541;Joao Oliveira;Acesso;Completa;10/04/2024;25/04/2024;19/04/2024;17801131;joliveira@gmail.com;14/04/1994
101542;Mariana Cardoso;Oposicao;Completa;10/04/2024;25/04/2024;19/04/2024;17801137;maricardoso@gmail.com;09/01/2000
101543;Matheus Duarte;Retificacao;Completa;10/04/2024;25/04/2024;19/04/2024;17801142;matheusduarte@gmail.com;14/02/1997
101544;Bianca Oliveira;Oposicao;Completa;10/04/2024;25/04/2024;19/04/2024;17801148;bioliveira@gmail.com;14/10/2003
101545;Thiago Mendes;Acesso;Completa;11/04/2024;26/04/2024;19/04/2024;17801153;thimendes@gmail.com;05/06/1990
101546;Luiza Gomes;Oposicao;Completa;12/04/2024;27/04/2024;19/04/2024;17801159;lugomes@gmail.com;23/08/1994
101547;Felipe Campos ;Retificacao;Completa;13/04/2024;28/04/2024;19/04/2024;17801164;fcampos@gmail.com;19/04/1996
101548;Larissa Miranda;Oposicao;Completa;13/04/2024;28/04/2024;19/04/2024;17801170;larimiranda@gmail.com;14/07/2003
101549;Bruno Santos;Oposicao;Completa;14/04/2024;29/04/2024;20/04/2024;17801175;brusantos@gmail.com;16/08/1995
101550;Alice Pereira;Acesso;Completa;15/04/2024;30/04/2024;21/04/2024;17801181;alicep@gmail.com;13/02/1999
101551;Gabriel Costa;Eliminacao;Completa;16/04/2024;01/05/2024;22/04/2024;17801186;gabricosta@gmail.com;19/09/2000
101552;Camila Rodrigues;Eliminacao;Completa;16/04/2024;01/05/2024;22/04/2024;17801192;camirodrigues@gmail.com;01/01/1994
101553;Daniel Castro;Oposicao;Completa;16/04/2024;01/05/2024;22/04/2024;17801197;danicastro@gmail.com;26/09/1998
101554;Fernanda Alves;Acesso;Completa;16/04/2024;01/05/2024;22/04/2024;17801203;falves@gmail.com;12/08/2001
101555;Anderson Silva;Oposicao;Completa;17/04/2024;02/05/2024;22/04/2024;17801208;andsilva@gmail.com;19/09/2000
101556;Isadora Santos;Acesso;Completa;18/04/2024;03/05/2024;22/04/2024;17801214;santosisadora@gmail.com;09/01/2000
101557;Eduardo Vieira;Eliminacao;Completa;18/04/2024;03/05/2024;23/04/2024;17801219;eduvieira@gmail.com;16/10/1993
101558;Larissa Lima;Oposicao;Completa;18/04/2024;03/05/2024;24/04/2024;17801225;larilima@gmail.com;19/09/2000
101559;Vinicius Carvalho;Oposicao;Completa;18/04/2024;03/05/2024;25/04/2024;17801230;vinicarvalho@gmail.com;12/08/2001
101560;Beatriz Fernandes;Acesso;Em andamento;19/04/2024;04/05/2024;;17801236;bfernandes@gmail.com;19/12/2004
101561;Joao Pedro;Retificacao;Completa;20/04/2024;05/05/2024;25/04/2024;17801241;jpedro@gmail.com;01/01/1994
101562;Amanda Martins;Oposicao;Completa;21/04/2024;06/05/2024;25/04/2024;17801247;amandamartins@gmail.com;02/11/1992
101563;Lucas Oliveira;Eliminacao;Em andamento;21/04/2024;06/05/2024;;17801252;loliveira@gmail.com;12/08/2001
101564;Leticia Costa;Retificacao;Completa;21/04/2024;06/05/2024;25/04/2024;17801258;lcosta@gmail.com;03/02/2003
101565;Marcelo Ribeiro;Acesso;Completa;21/04/2024;06/05/2024;25/04/2024;17801263;marceribeiro@gmail.com;02/11/1992
101566;Luana Mendes;Retificacao;Completa;21/04/2024;06/05/2024;25/04/2024;17801269;luanamendes@gmail.com;30/01/2001
101567;Ricardo Sousa;Retificacao;Completa;21/04/2024;06/05/2024;25/04/2024;17801274;ricardosousa@gmail.com;12/08/2001
101568;Clara Almeida;Acesso;Em andamento;21/04/2024;06/05/2024;;17801280;claraalme@gmail.com;31/12/1995
101569;Matheus Pereira;Acesso;Completa;22/04/2024;07/05/2024;25/04/2024;17801285;matheusp@gmail.com;01/01/1994
101570;Sofia Santos;Oposicao;Completa;23/04/2024;08/05/2024;25/04/2024;17801291;sofisantos@gmail.com;19/09/2000
101571;Lucas Martins;Eliminacao;Completa;23/04/2024;08/05/2024;26/04/2024;17801296;lucasmartins@gmail.com;30/04/2000
101572;Mariana Silva;Acesso;Em andamento;23/04/2024;08/05/2024;;17801302;marisilva@gmail.com;14/10/2003
101573;Rafaela Oliveira;Eliminacao;Completa;23/04/2024;08/05/2024;28/04/2024;17801307;rafaoliveira@gmail.com;30/06/1997
101574;Thiago Costa;Retificacao;Completa;23/04/2024;08/05/2024;28/04/2024;17801313;thicosta@gmail.com;31/12/1999
101575;Isabela Rodrigues;Acesso;Completa;23/04/2024;08/05/2024;28/04/2024;17801318;isarodri@gmail.com;01/01/1994
101576;Pedro Santos;Retificacao;Em andamento;23/04/2024;08/05/2024;;17801324;psantos@gmail.com;30/04/2000
101577;Giovani Almeida;Acesso;Completa;24/04/2024;09/05/2024;28/04/2024;17801329;gialmeira@gmail.com;14/10/2003
101578;Carolina Pereira;Oposicao;Completa;25/04/2024;10/05/2024;28/04/2024;17801335;carolp@gmail.com;07/11/2003
101579;Jefferson Fernandes;Retificacao;Completa;26/04/2024;11/05/2024;29/04/2024;17801340;jfernandes@gmail.com;31/12/1995
101580;Larissa Vieira;Eliminacao;Completa;27/04/2024;12/05/2024;30/04/2024;17801346;lvieira@gmail.com;12/08/2001
101581;Gabriel Souza;Acesso;Em andamento;27/04/2024;12/05/2024;;17801351;gsouza@gmail.com;31/12/1995
101582;Beatriz Lima;Retificacao;Completa;27/04/2024;12/05/2024;01/05/2024;17801357;bealima@gmail.com;02/11/1992
101583;Mateus Castro;Acesso;Completa;28/04/2024;13/05/2024;01/05/2024;17801362;mateuscastro@gmail.com;01/01/1994
101584;Luana Rocha;Acesso;Completa;29/04/2024;14/05/2024;01/05/2024;17801368;luanarocha@gmail.com;14/10/2003
101585;Vinicius Barbosa;Oposicao;Em andamento;30/04/2024;15/05/2024;;17801373;vinibarbosa@gmail.com;19/09/2000
